Número do Processo (Não edite);ID (Não edite);Item (Não edite);Produto (Não edite);Quantidade (Não edite);Modelo (Insira as informações quando aplicável);Marca/Fabricante (Insira as informações quando aplicável);Código de Registro na ANVISA (Insira as informações quando aplicável);Descrição detalhada do Item (Insira as informações);Valor unitário (Insira as informações);Valor total (Insira as informações)
011/2023;11772;22;ATADURA CREPON 15CM X 4,5MT 11 FIOS, MACIA, ELÁSTICA E RESISTENTE, Atadura de crepom, 100% algodão cru, fios de alta torção, com alta resistência, possuindo bastante elasticidade no sentido longitudinal, comprimento da embalagem em repouso, enrolada em si mesma, com fio retorcido ou singelo, não estéril, atóxica, aparência uniforme, sem emendas UNIDADE com 12 UNIDADEes;3000;Cremer;Cremer;;ATADURA CREPOM 15CM X 4,5MT, 11 FIOS, MACIA, ELÁSTICA E RESISTENTE. ATADURA DE CREPOM, 100% ALGODÃO CRU, FIOS DE ALTA TORÇÃO, COM ALTA RESISTÊNCIA, POSSUINDO BASTANTE ELASTICIDADE NO SENTIDO LONGITUDINAL, COMPRIMENTO DA EMBALAGEM EM REPOUSO, ENROLADA EM SI MESMA, COM FIO RETORCIDO OU SINGELO, NÃO ESTÉRIL, ATÓXICA, APARÊNCIA UNIFORME, SEM EMENDAS. PACOTE COM 12UNIDADES;40,56;121680
011/2023;11773;23;ATADURA CREPON 20 CM X 4,5MT, 11 FIOS, MACIA, ELÁSTICA E RESISTENTE, Atadura de crepom, 100% algodão cru, fios de alta torção, com alta resistência, possuindo bastante elasticidade no sentido longitudinal, comprimento da embalagem em repouso, enrolada em si mesma, com fio retorcido ou singelo, não estéril, atóxica, aparência uniforme, sem emendas UNIDADE com 12 UNIDADEes;3000;Cremer;Cremer;;ATADURA CREPOM 20CM X 4,5MT, 11 FIOS, MACIA, ELÁSTICA E RESISTENTE. ATADURA DE CREPOM, 100% ALGODÃO CRU, FIOS DE ALTA TORÇÃO, COM ALTA RESISTÊNCIA, POSSUINDO BASTANTE ELASTICIDADE NO SENTIDO LONGITUDINAL, COMPRIMENTO DA EMBALAGEM EM REPOUSO, ENROLADA EM SI MESMA, COM FIO RETORCIDO OU SINGELO, NÃO ESTÉRIL, ATÓXICA, APARÊNCIA UNIFORME, SEM EMENDAS. PACOTE COM 12UNIDADES;59,15;177450
011/2023;11774;24;BOLSA COLETORA ESTERIL DE FEZES, Bolsa de Colostomia drenável recortável com barreira protetora de pele é um dispositivo de uma peça, composto de uma bolsa drenável, um disco protetor de pele Stomahesive e um suporte adesivo flexível, Tela perfurada fixada à face posterior da bolsa, aumentando o conforto quando a bolsa toca a pele, Suporte adesivo flexível, que elimina a necessidade de utilizar adesivos cirúrgicos, Bolsa de plástico macio, silencioso e à prova de odores,;4000;;;;;;
011/2023;11775;25;FIO DE SUTURA AGULHADO DE NYLON 5-0, 45CM ,;3000;;;;;;
011/2023;11776;26;BATERIA CR2032 PARA GALÃOICOSIMETROS, APARELHOS DE PRESSÃO DIGITAIS, BALANÇA ELETRONICAS, 3V;200;;;;;;
011/2023;11777;27;BALANÇA DIGITAL para banheiro , suporta ate 180 kg com 04 sensores de alta com visor lcd grande, balança de controle corporal alimentação por bateria cr2032 garantia de 12 meses;200;Multilaser;Multilaser;;"BALANÇA DIGITAL PARA BANHEIRO, SUPORTA ATE 180KL, COM 4 SENSORES DE ALTA, COM VISOR LCD GRANDE; BALANÇA DE CONTROLECORPORAL, ALIMENTAÇÃO POR BATERIA CR2032, GARANTIA DE 12 MESES.";131,3;26260
011/2023;11778;28;CAIXA TERMICA PARA USO DE VACINA, CAPACIDADE DE NO MINIMO 12L COM TERMOMETRO DIGITALALIMENTAÇÃO POR 2X LR 44 BATERIA, BOTÃO FAIXA DE TEMPERATURA-50~+110°C - GARANTIA DE 12 MESES;15;;;;;;
011/2023;11779;29;CATETER JELCO Nº14, Cateter jelco de teflon, estéril, descartável, flexível, nº 14, embalagem individual, papel grau cirúrgico e filme termoplástico, abertura em pétala,;2000;Solidor;Solidor;;CATETER JELCO Nº14 CATETER JELCO DE TEFLON, ESTÉRIL, DESCARTÁVEL, FLEXÍVEL, Nº 14, EMBALAGEM INDIVIDUAL, PAPEL GRAUCIRÚRGICO E FILME TERMOPLÁSTICO, ABERTURA EM PÉTALA.;1,3;2600
011/2023;11780;30;CATETER JELCO Nº16, Cateter jelco de teflon, estéril, descartável, flexível, nº 16, embalagem individual, papel grau cirúrgico e filme termoplástico, 0,61 abertura em pétala,;2000;Solidor;Solidor;;CATETER JELCO Nº16CATETER JELCO DE TEFLON, ESTÉRIL, DESCARTÁVEL, FLEXÍVEL, Nº 16, EMBALAGEM INDIVIDUAL, PAPEL GRAU CIRÚRGICO E FILME TERMOPLÁSTICO,0,61 ABERTURA EM PÉTALA.;1,3;2600
011/2023;11781;31;CATETER JELCO Nº18, Cateter jelco de teflon, estéril, descartável, flexível, nº 18, embalagem individual, papel grau cirúrgico e filme termoplástico, abertura em pétala,;2000;Solidor;Solidor;;CATETER JELCO Nº18 CATETER JELCO DE TEFLON, ESTÉRIL, DESCARTÁVEL, FLEXÍVEL, Nº 18, EMBALAGEM INDIVIDUAL, PAPEL GRAU CIRÚRGICO E FILME TERMOPLÁSTICO,ABERTURA EM PÉTALA.;1,3;2600
011/2023;11782;32;CATETER JELCO Nº 20, Cateter jelco de teflon, estéril, descartável, flexível, nº 20, embalagem individual, papel grau cirúrgico e filme termoplástico, abertura em pétala,;2000;Solidor;Solidor;;CATETER JELCO Nº20CATETER JELCO DE TEFLON, ESTÉRIL, DESCARTÁVEL, FLEXÍVEL, Nº 20, EMBALAGEMINDIVIDUAL, PAPEL GRAU CIRÚRGICO E FILME TERMOPLÁSTICO, ABERTURA EM PÉTALA.;1,3;2600
011/2023;11783;33;CATETER JELCO Nº 22, Cateter jelco de teflon, estéril, descartável, flexível, nº 22, embalagem individual, papel grau cirúrgico e filme termoplástico, abertura em pétala,;2000;Solidor;Solidor;;CATETER JELCO Nº22 CATETER JELCO DE TEFLON, ESTÉRIL, DESCARTÁVEL, FLEXÍVEL, Nº 22, EMBALAGEM INDIVIDUAL, PAPEL GRAUCIRÚRGICO E FILME TERMOPLÁSTICO, ABERTURA EM PÉTALA.;1,3;2600
011/2023;11784;34;CATETER JELCO Nº 24, Cateter jelco de teflon, estéril, descartável, flexível, nº 24, embalagem individual, papel grau cirúrgico e filme termoplástico, abertura em pétala,;2000;Solidor;Solidor;;CATETER JELCO Nº24 CATETER JELCO DE TEFLON, ESTÉRIL, DESCARTÁVEL, FLEXÍVEL, Nº 24, EMBALAGEM INDIVIDUAL, PAPEL GRAU CIRÚRGICO E FILME TERMOPLÁSTICO,ABERTURA EM PÉTALA.;1,3;2600
011/2023;11785;35;CATETER TIPO OCULOS P/ OXIGENIO, Cateter nasal, tipo óculos, estéril, descartável, com extensão de aproximadamente 2,1mt em PVC, flexível, com ajuste e adaptação confortável no paciente, sendo que o conector da cavidade nasal deverá ser composto por PVC de alta qualidade, flexível, que não cause ferimentos no paciente, embalagem individual, em papel grau cirúrgico e filme plástico nº12, 3,85;2000;;;;;;
011/2023;11786;36;COLETOR DE FEZES COMUM, COM PAR, EMBALAGEM DE 80ML, ESTERIL E DESCARTAVEL,;4000;Cral;Cral;;COLETOR DE FEZES COMUM, COM PAR, EMBALAGEM DE 80ML, ESTERIL EDESCARTAVEL;0,9;3600
011/2023;11787;37;COLETOR DE URINA COMUM, EMBALAGEM DE 80ML, ESTERIL E DESCARTAVEL, SEM PAR,;4000;;;;;;
011/2023;11788;38;COLETOR DE URINA COMPOSTO POR FITA ADESIVA DUPLA FACE, HIPOALÉRGICA, RESISTENTE E QUE NÃO DESPRENDE DO CONJUNTO, COMPOSTO POR SACO COM COMPRIMENTO DE 17 CM E LARGURA DE 10 CM, COM UM FURO PRÉ-CORTADO E COM PELÍCULA PROTETORA NÃO ADERENTE E DESTACÁVEL;4000;;;;;;
011/2023;11789;39;COLETOR PARA MATERIAL PERFURO CORTANTE 13 LT, Confeccionado em papel incinerável, cor amarela, revestido internamente com produto impermeabilizante que evita umidade e vazamento, acompanhado de saco plástico ou não, com instruções de montagem e uso impressas externamente, cinta em material resistente à perfurações, alça para transporte fixa ao coletor, tampa fixa ao coletor, bocal com abertura que facilite o descarte de material e linha que apresente o limite máximo de enchimento, Fabricado de acordo com a NR 32 (MTE), constando externamente a simbologia de material infectante conforme NBR 7500, Deve atender as normas NBR 13853,;5000;Descarbox;Descarbox;;COLETOR P/ MATERIAL PERFURO CORTANTE 13 LITROSCONFECCIONADO EM PAPEL INCINERÁVEL, COR AMARELA, REVESTIDO INTERNAMENTE COM PRODUTO IMPERMEABILIZANTE QUE EVITA UMIDADE E VAZAMENTO, ACOMPANHADO DE SACO PLÁSTICO OU NÃO, COM INSTRUÇÕES DE MONTAGEM E USO IMPRESSAS EXTERNAMENTE, CINTA EM MATERIAL RESISTENTE À PERFURAÇÕES, ALÇA PARA TRANSPORTE FIXA AO COLETOR, TAMPA FIXA AO COLETOR, BOCAL COM ABERTURA QUE FACILITE O DESCARTE DE MATERIAL E LINHA QUE APRESENTE O LIMITE MÁXIMO DE ENCHIMENTO. FABRICADO DE ACORDO COM A NR 32 (MTE), CONSTANDO EXTERNAMENTE A SIMBOLOGIA DE MATERIAL INFECTANTE CONFORME NBR 7500. DEVEATENDER AS NORMAS NBR 13853.;7,79;38950
011/2023;11790;40;COMPRESSA DE GASE 7,5 CM X 7,5 CM 13 FIOS, Compressa de gaze hidrófila, em algodão puro e branco, sem falhas ou fiapos soltos, 13 fios por cm quadrado, dobras uniformes e perfeitas, variando de 5 a 8 dobras, com filamento radiopaco, com formato quadrado, confeccionada em fios 100% algodão - UNIDADE com 500 COMPRESSAS,;5000;Herika;Herika;;COMPRESSA DE GAZE 7,5CM X 7,5CM, 13 FIOS COMPRESSA DE GAZE HIDRÓFILA, EM ALGODÃO PURO E BRANCO, SEM FALHAS OU FIAPOS SOLTOS, 13 FIOS POR CM QUADRADO, DOBRAS UNIFORMES E PERFEITAS, VARIANDO DE 5 A 8 DOBRAS, COM FILAMENTO RADIOPACO, COM FORMATO QUADRADO,CONFECCIONADA EM FIOS 100% ALGODÃO. PACOTE COM 500 UNIDADES;38,87;194350
011/2023;11791;41;COMPRESSA DE GASE 7,5CM X 7,5CM 9 FIOS, Compressa de gaze hidrófila, em algodão puro e branco, sem falhas ou fiapos soltos, 9 fios por cm quadrado, dobras uniformes e perfeitas, variando de 5 a 8 dobras, com filamento radiopaco, com formato quadrado, confeccionada em fios 100% algodão UNIDADE com 500 COMPRESSAS,;5000;America;America;;COMPRESSA DE GAZE 7,5CM X 7,5CM, 9 FIOS COMPRESSA DE GAZE HIDRÓFILA, EM ALGODÃO PURO E BRANCO, SEM FALHAS OU FIAPOS SOLTOS, 9 FIOS POR CM QUADRADO, DOBRAS UNIFORMES E PERFEITAS, VARIANDO DE 5 A 8 DOBRAS, COM FILAMENTO RADIOPACO, COM FORMATO QUADRADO,CONFECCIONADA EM FIOS 100% ALGODÃO. PACOTE COM 500 UNIDADES;33,8;169000
011/2023;11792;42;DISPOSITIVO PARA INCONTINÊNCIA URINARIA MASCULINO TAMANHO G COM EXTENSÃO, em látex atóxico puro em forma de preservativo com extremidade, afunilada e reforçado com tubo condutor, com registro no ministério da saúde,;2000;;;;;;
011/2023;11793;43;DISPOSITIVO PARA INCONTINÊNCIA URINARIA MASCULINO TAMANHO M COM EXTENSÃO, em látex atóxico puro em forma de preservativo com extremidade, afunilada e reforçado com tubo condutor, com registro no ministério da saúde,;6000;;;;;;
011/2023;11794;44;DISPOSITIVO PARA INCONTINÊNCIA URINARIA MASCULINO TAMANHO P COM EXTENSÃO, em látex atóxico puro em forma de preservativo com extremidade, afunilada e reforçado com tubo condutor, com registro no ministério da saúde,;2000;;;;;;
011/2023;11795;45;ENEMA – SOLUÇÃO GALÃOICERINADA 500 ML,;100;;;;;;
011/2023;11796;46;EQUIPO MACRO GOTAS COM INJETOR LATERAL, PARA INFUSÕES ENDOVENOSAS DE USO ÚNICO, ESTÉRIL E APIROGÊNICA, PROJETADA DE FORMA A GARANTIR UMA PERFEITA ADAPTAÇÃO E FUNCIONALIDADE EM RECIPIENTES DE SOLUÇÃO PARENTAL EM TODAS AS VARIAÇÕES EMBALADO INDIVIDUALMENTE EM BLISTER DE FILME PLÁSTICO TERMOFORMÁVEL E PAPEL GRAU CIRÚRGICO, PONTA PERFURANTE DE ACORDO COM AS NORMAS NACIONAIS E INTERNACIONAIS, COM PROJETOR, TUBO DE PVC ATÓXICO E TRANSPARENTE, CÂMARA DE GOTEJAMENTO FLEXÍVEL TRANSPARENTE, COM ENTRADA DE AR, ESTERILIZADO A ÓXIDO DE ETILENO;10000;Injex;Injex;;EQUIPO MACRO GOTAS COM INJETOR LATERAL, PARA INFUSÕES ENDOVENOSAS DE USO ÚNICO, ESTÉRIL E APIROGÊNICA, PROJETADA DE FORMA A GARANTIR UMA PERFEITA ADAPTAÇÃO E FUNCIONALIDADE EM RECIPIENTES DE SOLUÇÃO PARENTAL EM TODAS AS VARIAÇÕES. EMBALADO INDIVIDUALMENTE EM BLISTER DE FILME PLÁSTICO TERMOFORMÁVEL E PAPEL GRAU CIRÚRGICO, PONTA PERFURANTE DE ACORDO COM AS NORMAS NACIONAIS E INTERNACIONAIS, COM PROJETOR, TUBO DE PVC ATÓXICO E TRANSPARENTE, CÂMARA DE GOTEJAMENTO FLEXÍVEL TRANSPARENTE,COM ENTRADA DE AR, ESTERILIZADO A ÓXIDO DE ETILENO.;1,3;13000
011/2023;11797;47;EQUIPO MICRO GOTAS COM INJETOR FOTOSSENSÍVEL, Equipo micro gotas com lanceta perfurante para conexão ao recipiente de solução, injetor lateral, sem látex, tubo de PVC de 1,5mt, atóxico e fotossensível, produto foto-protetor, de cor âmbar ou alaranjada, com um protetor plástico da mesma cor para envolver a medicação contra a luz, ele é indicado para a infusão de medicamentos, sensíveis a luz, os mesmos sofrem alterações em suas propriedades originais sob a ação, dos raios ultra violetas da luz, possui ponta perfurante que se adapta com facilidade a qualquer frasco/ampola/bolsa, com câmara de micro gotejamento flexível, contém injetor lateral e filtro partícula, entrada de ar hidrofóbica acompanha capa para frascos que contenham soluções fotossensíveis, Esterilizado pelo processo de óxido de etileno, Acondicionado individualmente em saco tipo blíster e em papel grau cirúrgico com abertura asséptica,;5000;;;;;;
011/2023;11798;48;EQUIPO MICRO GOTAS, com lanceta perfurante para conexão ao recipiente de solução, injetor lateral, sem látex, tubo de PVC de 1,5mt, atóxico e transparente, controlador de fluxo (gotejamento) tipo pinça rolete em polietileno, conexão luer lock para dispositivo de acesso venoso, câmara gotejadora flexível transparente sem entrada de ar, filtro de partículas de 15 micras, acondicionado individualmente em saco tipo blíster e em papel grau cirúrgico com abertura asséptica;3000;Solidor;Solidor;;EQUIPO MICRO GOTAS COM LANCETA PERFURANTE PARA CONEXÃO AO RECIPIENTE DE SOLUÇÃO, INJETOR LATERAL, SEM LÁTEX, TUBO DE PVC DE 1,5MT, ATÓXICO E TRANSPARENTE, CONTROLADOR DE FLUXO (GOTEJAMENTO) TIPO PINÇA ROLETE EM POLIETILENO, CONEXÃO LUER LOCK PARA DISPOSITIVO DE ACESSO VENOSO, CÂMARA GOTEJADORA FLEXÍVEL TRANSPARENTE SEM ENTRADA DE AR, FILTRO DE PARTÍCULAS DE15 MICRAS, ACONDICIONADO INDIVIDUALMENTE EM SACO TIPO BLÍSTER EEM PAPEL GRAU CIRÚRGICO COM ABERTURA ASSÉPTICA.;7,67;23010
011/2023;11799;49;EQUIPO DE NUTRIÇÃO ENTERAL, DESENVOLVIDO PARA ENTREMEAR A LIGAÇÃO DA SONDA DE ALIMENTAÇÃO ENTERAL (LIGADA AO PACIENTE) AO RECIPIENTE DE SOLUÇÕES (FRASCO OU BOLSA) QUE CONTEM O ALIMENTO A SER MINISTRADO, ESTERIL, FABRICADO EM PVC FLEXIVEL, POSSUI PONTA PERFURANTE COM TAMPA PROTETORA, CAMARA DE GOTEJAMENTO, VIABILIZA O CONTROLE DE FLUXO DE SOLUÇÕES, UMA VEZ QUE, POSSUI PINÇA ROLETE QUE GARANTE PRECISÃO NO CONTROLE DE GOTEJAMENTO, TUBO DISPONIVEL NA COR AZUL QUE EVITA A CONEXÃO ACIDENTAL COM O ACESSO VENOSO, CONECTOR TTIPO LUER SLIP ATOXICO E APIROGENICO, DESCARTAVEL E DE USO UNICO;5000;Labor;Labor;;"EQUIPO DE NUTRIÇÃO ENTERAL, DESENVOLVIDO PARA ENTREMEAR A LIGAÇÃO DA SONDA DE ALIMENTAÇÃO ENTERAL (LIGADA AO PACIENTE) AO RECIPIENTE DE SOLUÇÕES (FRASCO OU BOLSA), QUE CONTÉM O ALIMENTO À SER MINISTRADO,ESTÉRIL; FABRICADO EM PVC FLEXÍVEL; POSSUI PONTA PERFURANTE COM TAMPA PROTETORA, CÂMARA DE GOTEJAMENTO; VIABILIZA O CONTROLE DE FLUXO DE SOLUÇÕES, UMA VEZ QUE, POSSUI PINÇA ROLETE QUE GARANTE PRECISÃO NO CONTROLE DE GOTEJAMENTO; TUBO DISPONÍVEL NA COR AZUL, QUE EVITA A CONEXÃO ACIDENTAL COM O ACESSO VENOSO; CONECTOR TIPO LUER SLIP; ATÓXICO E APIROGÊNICO; DESCARTÁVEL E DE USO ÚNICO";2,47;12350
011/2023;11800;50;ESFIGMOMANÔMETRO ADULTO COM BRAÇADEIRA EM METAL COMPLETO, COMPOSTO DE MANÔMETRO MECÂNICO TIPO RELÓGIO, COM MOSTRADOR GRADUADO EM MMHG, BRAÇADEIRA COM FECHO DE VELCRO, CONFECCIONADA EM LONA DE ALGODÃO, RESISTENTE, FLEXÍVEL E SE MOLDA FACILMENTE AO BRAÇO, MANGUITO E PERA FABRICADOS SEM EMENDAS DE SUBPECAS, COM BORRACHA ESPECIAL, QUE RECEBE TRATAMENTO TÉRMICO, RECOZIMENTO E POLIMENTO, APRESENTAM RESISTÊNCIA E PERFEITA VEDAÇÃO, ACONDICIONADA EM BOLSA APROPRIADA, EMBALAGEM INDIVIDUAL;100;;;;;;
011/2023;11801;51;ESPARADRAPO IMPERMEÁVEL 10CM X 4,5M, com capa, em rolo, composição: fabricado em tecido 100% algodão, com uma camada de impermeabilização em uma das faces e uma camada adesiva a base de óxido e zinco, borracha natural e resinas, na outra face apresentando bobinado em carretel plástico, com a identificação do produto, marca e nome do fabricante,;1000;Procitex;Procitex;;ESPARADRAPO IMPERMEÁVEL 10CM X 4,5M, COM CAPA, EM ROLO, COMPOSIÇÃO: FABRICADO EM TECIDO 100% ALGODÃO, COM UMA CAMADA DE IMPERMEABILIZAÇÃO EM UMA DAS FACES E UMA CAMADA ADESIVA A BASE DE ÓXIDO E ZINCO, BORRACHA NATURAL E RESINAS, NA OUTRA FACE APRESENTANDO BOBINADO EM CARRETEL PLÁSTICO, COM A IDENTIFICAÇÃO DOPRODUTO, MARCA E NOME DO FABRICANTE.;21,97;21970
011/2023;11802;52;ESPÉCULO VAGINAL TAMANHO P, KIT P/ EXAME PREVENÇÃO COLO UTERINO – EMBALAGEM COM 01 ESPECULO DESCARTÁVEL E ESTÉRIL, PAR DE LUVAS ESTÉRIL, LAMÍNA, ESPÁTULA DE AIRES E ESCOVA PARA PROCEDIMENTO GINECOLÓGICO;2000;;;;;;
011/2023;11803;53;ESPÉCULO VAGINAL TAMANHO m, KIT P/ EXAME PREVENÇÃO COLO UTERINO – EMBALAGEM COM 01 ESPECULO DESCARTÁVEL E ESTÉRIL, PAR DE LUVAS ESTÉRIL, LAMÍNA, ESPÁTULA DE AIRES E ESCOVA PARA PROCEDIMENTO GINECOLÓGICO;5000;;;;;;
011/2023;11804;54;ESPÉCULO VAGINAL TAMANHO G, KIT P/ EXAME PREVENÇÃO COLO UTERINO – EMBALAGEM COM 01 ESPECULO DESCARTÁVEL E ESTÉRIL, PAR DE LUVAS ESTÉRIL, LAMÍNA, ESPÁTULA DE AIRES E ESCOVA PARA PROCEDIMENTO GINECOLÓGICO;2000;;;;;;
011/2023;11805;55;FITA ADESIVA BRANCA HOSPITALAR, CONFECCIONADA COM DORSO PAPEL CREPE 19MM X 50M,;2000;Adere;Adere;;FITA ADESIVA BRANCA HOSPITALAR, CONFECCIONADA COM DORSO DE PAPELCREPE 19MM X 50M;5,85;11700
011/2023;11806;56;FITA ADESIVA INDICADORA PARA AUTOCLAVE 19MM X 30M, RESISTENTE À ALTA TEMPERATURA, NA COR BRANCA;2000;Cral;Cral;;FITA ADESIVA INDICADORA PARA AUTOCLAVE 19MM X 30M, RESISTENTE À ALTATEMPERATURA, NA COR BRANCA.;5,85;11700
011/2023;11807;57;FITA CIRÚRGICA MICROPORE 25MM X 10M, TECIDO À BASE DE VISCOSE COM ADESIVO;2000;;;;;;
011/2023;11808;58;FRASCO PARA NUTRIÇÃO ENTERAL 300 ML,;3000;;;;;;
